title,store,original_price,current_price,unit_price,unit
"Pirādziņš ar krēmīgu persiku pildījumu, 92 g (6,41 €/kg)",maxima.lv,0.69,0.59,6.41,€/kg
Maizēm ZELTENE,maxima.lv,,,,
Maizēm LATVIJAS TOST,maxima.lv,,,,
Maizēm FAZER STREET FOOD,maxima.lv,,,,
Maizēm SVAIGI CEPTA TEV!,maxima.lv,,,,
"Saldējums BEN&JERRY'S, 360 g vai 406 g, trīs veidi (no 12,29 €/kg); (no 24,61 €/kg)",maxima.lv,,4.99,13.86,€/kg
"Saldējums MINI KARLSONS, 1 iepak./6x 40 g (10,79 €/kg); (20,38 €/kg)",maxima.lv,,2.59,64.75,€/kg
"Putukrējuma saldējums ar zemeņu ievārījumu MR BIG, 94 g (8,40 €/kg); (15,85 €/kg)",maxima.lv,,0.79,8.40,€/kg
"Pica SUPREMA, 487 g vai 520 g, CALABRESE NDUJA vai SALAME ROMANO (no 8,25 €/kg); (no 13,44 €/kg)",maxima.lv,,4.29,8.81,€/kg
"Dārzeņu maisījums WELL DONE MEXICAN, 400 g (2,48 €/kg)",maxima.lv,1.69,0.99,2.48,€/kg
"Saldēti pelmeņi ar vistas gaļu RGK, 350 g (6,54 €/kg)",maxima.lv,2.99,2.29,6.54,€/kg
"Hinkaļi VECMĀMIŅAS ORIENTAL, 2x 700 g (3,92 €/kg)",maxima.lv,10.98,5.49,7.84,€/kg
Marinētajiem gurķiem SPILVA,maxima.lv,,,,
Ātri pagatavojamām maltītēm KOK,maxima.lv,,,,
"Pupiņas SPILVA meksikāņu gaumē, 560 g (4,45 €/kg); (6,52 €/kg)",maxima.lv,,2.49,4.45,€/kg
"Olīvu izspaidu eļļa LA ESPANOLA, 1 l",maxima.lv,7.99,4.99,4.99,€/l
"Adžikas mērce vai Klasiskais kečups PŪRE, 450 g vai 500 g (no 4,38 €/kg); (no 6,78 €/kg)",maxima.lv,,2.19,4.87,€/kg
"Zaļās olīvas FEUDO VERDE, 300 g, ar lasi vai papriku (4,97 €/kg)",maxima.lv,1.69,1.49,4.97,€/kg
"Musli batoniņš MIO&RIO, 20 g, trīs veidi (12,50 €/kg)",maxima.lv,0.29,0.25,12.50,€/kg
"Ātri pagatavojamā auzu pārslu putra AXA, 40 g, trīs veidi (9,75 €/kg); (13,75 €/kg)",maxima.lv,,0.39,9.75,€/kg
"Kviešu milti HERKULESS, 2 kg (0,83 €/kg); (1,30 €/kg)",maxima.lv,,1.65,0.82,€/kg
Garšvielām WELL DONE,maxima.lv,,,,
Cukuriem WELL DONE,maxima.lv,,,,
"Zefirs ar krāsainām vai kakao skaidiņām PUFF, 120 g, RAINBOW vai CHOCO (9,92 €/kg)",maxima.lv,1.99,1.19,9.92,€/kg
"Piena šokolāde MILKA, 250 g vai 300 g, trīs veidi (no 14,97 €/kg)",maxima.lv,4.99,4.49,17.96,€/kg
"Šokolāde PERGALE, 100 g, ar mango vai meža ogu pildījumu (11,90 €/kg)",maxima.lv,1.79,1.19,11.90,€/kg
Saldumiem LION,maxima.lv,,,,
"Šokolādes batoniņi SNICKERS vai TWIX, 1 iepak./5 gab., 250g (11,96 €/kg); (23,96 €/kg)",maxima.lv,,2.99,11.96,€/kg
"Želejkonfektes ZOZOLE, 75 g, RAINBOW vai SOUR STRAWBERRY (8,67 €/kg)",maxima.lv,0.79,0.65,8.67,€/kg
"Šokolādes konfektes VALURIELE MARII vai LAMAITA, 1 kg",maxima.lv,8.63,5.99,5.99,€/kg
"Maigie sāļie krekeri, 1 kg",maxima.lv,3.99,2.99,2.99,€/kg
"Prjaņiki VIRPULIS, 1 kg",maxima.lv,6.99,4.99,4.99,€/kg
"Kartupeļu plāksnes LONGCHIPS, 75 g (9,20 €/kg); (10,53 €/kg)",maxima.lv,,0.69,9.20,€/kg
"Kukurūzas uzkoda CHEETOS, 145 g vai 165 g, četri veidi (no 10,85 €/kg); (no 18,12 €/kg)",maxima.lv,,1.79,12.34,€/kg
"Kartupeļu čipsi LAY'S, 130 g, četri veidi (13,00 €/kg); (20,69 €/kg)",maxima.lv,,1.69,13.00,€/kg
