title,store,original_price,current_price
"Jogurts Lakto Protein Mango, Marakuja, Čia Sēklu 200g",etop.lv,"1,35 € - 1,39 €",0.99
Šampūns Dušas Želeja Hipp Babysanft 2in1 400ml,etop.lv,"4,85 € - 5,25 €",4.15
Šampūns Hipp Babysanft Zīdaiņiem 0+ 200ml,etop.lv,"3,79 € - 4,19 €",3.09
Biezenis Hipp Ābolu Dzelteno Plūmju Persiku 12+ 100g,etop.lv,"1,65 € - 1,85 €",1.25
Biezenis Hipp Ābolu Persiku Banānu Ar Cepumiem 12+ 100g,etop.lv,"1,65 € - 1,85 €",1.25
Biezenis Hipp Burkāni Ar Rīsiem Un Teļa Gaļu 4+ 190g,etop.lv,"2,25 € - 2,45 €",1.85
Biezputra Piena Hipp Mannas Ar Banāniem No 4+ 190g,etop.lv,"1,85 € - 2,05 €",1.45
Nūdeles Reeva Ar Aso Vistas Gaļas Buljonu Mājas Gaumē 60g,etop.lv,"0,74 € - 0,94 €",0.44
Nūdeles Reeva Ar Vistas Gaļas Buljonu Mājas Gaumē 60g,etop.lv,"0,74 € - 0,94 €",0.44
Veļas Mazg.kapsulas Ariel  Color 12gab,etop.lv,"7,59 € - 8,49 €",6.59
Nageti Tip Top Cāļa Filejas 300g,etop.lv,"2,49 € - 2,49 €",1.89
Papīra Dvielis Ruta Selecta Mega Roll 3kārtas 1rul.175lapas,etop.lv,"1,89 € - 2,09 €",1.49
Nūdeles Hao Hao Ar Garneļu Čilli Laima Garšu 78g,etop.lv,"0,79 € - 0,99 €",0.49
Atkr.maisi Tip Top 35l 10gab 30mkr Ldpe Melni 52x72cm,etop.lv,‌,0.99
Atkr.maisi Tip Top 60l 10gab 30mkr Ldpe Melni 60x78cm,etop.lv,‌,1.19
Zefīrs Tip Top Glazēts Ar Vaniļas Garšu 180g,etop.lv,‌,1.99
Skuveklis Gillette Mach3 +2 Kasetes,etop.lv,"12,99 € - 14,19 €",8.39
Lūpu Balzams Vaseline Rosy 4.8g,etop.lv,‌,2.39
Gurķi Greene Marinēti 3-6cm 350g,etop.lv,"1,41 € - 1,99 €",1.29
Olīvas Greene Zaļās Bez Kauliņiem 190g,etop.lv,"1,89 € - 2,09 €",1.49
Biezpiens Vājpiena Fit! Bez Laktozes 0.5% 400g,etop.lv,‌,1.59
Galda Salvetes Opā Pelēkas 1ply 33x33cm 50gab,etop.lv,‌,0.99
Galda Salvetes Opā Zilas 1ply 33x33cm 50gab,etop.lv,‌,0.99
Galda Salvetes Opā Melnas 1ply 33x33cm 50gab,etop.lv,‌,0.99
Galda Salvetes Opā Brūnas 1ply 33x33cm 50gab,etop.lv,‌,0.99
Galda Salvetes Opā Rozā 1ply 33x33cm 50gab,etop.lv,‌,0.99
Galda Salvetes Opā Dzeltenas 1ply 33x33cm 50gab,etop.lv,‌,0.99
Galda Salvetes Opā Zaļas 1ply 33x33cm 50gab,etop.lv,‌,0.99
Galda Salvetes Opā Baltas 1ply 33x33cm 50gab,etop.lv,‌,0.99
Galda Salvetes Opā Sarkanas 1ply 33x33cm 50gab,etop.lv,‌,0.99
Galda Salvetes Opā Violetas 1ply 33x33cm 50gab,etop.lv,‌,0.99
Vafeles Opā Tumšās Ar Iebiezinātā Piena Garšu 347g,etop.lv,‌,1.69
