title,store,original_price,current_price,unit_price,unit,image_url
TRAUKU MAZG.LĪDZ.MAYERI CRANBERRY 500ML,etop.lv,1.79 € - 1.99 €,1.39,2.78,€/l,https://cdn.etop.lv/products/4740060003462-328x328.png
TĪR.LĪDZEKLIS MAYERI KANALIZĀCIJAS CAURULĒM GRANULAS 500G,etop.lv,3.35 € - 3.65 €,2.75,5.50,€/kg,https://cdn.etop.lv/products/4740060005961-328x328.png
TUALETES BLOKS BREF COLOR AUTO ACTIVE EUCALYPTUS 50G,etop.lv,2.75 € - 3.05 €,2.15,43.00,€/kg,https://cdn.etop.lv/products/9000101853117-328x328.png
TUALETES BLOKS BREF COLOR AUTO ACTIVE FLOWERS 50G,etop.lv,2.75 € - 3.05 €,2.15,43.00,€/kg,https://cdn.etop.lv/products/9000101854527-328x328.png
SERVELĀDE VIGESTA PREMIUM KARSTI KŪP. 400G,etop.lv,3.89 € - 4.29 €,3.19,7.98,€/kg,https://cdn.etop.lv/products/4771183170236-328x328.png
PORCIJU MAIZE FAZER APALĪŠI SIERA MAIZĪTES 200G,etop.lv,,1.19,5.95,€/kg,https://cdn.etop.lv/products/4750212904271-328x328.png
DESERTS KĀRUMS PANNA COTTA ZEMEŅU 140G,etop.lv,1.19 € - 1.39 €,0.69,4.93,€/kg,https://cdn.etop.lv/products/4750025903027-328x328.png
DESERTS KĀRUMS PANNA COTTA ĶIRŠU 140G,etop.lv,1.19 € - 1.39 €,0.69,4.93,€/kg,https://cdn.etop.lv/products/4750025003307-328x328.png
DESERTS KĀRUMS PANNA COTTA MANGO-MARAKUJA 140G,etop.lv,1.19 € - 1.39 €,0.69,4.93,€/kg,https://cdn.etop.lv/products/4750025903034-328x328.png
MAKARONI ITALPASTA NR.46 GLIEMEŽVAKI 500G,etop.lv,1.69 € - 1.89 €,1.29,2.58,€/kg,https://cdn.etop.lv/products/8009940000462-328x328.png
TOMĀTU PASTA TIP TOP 250G,etop.lv,,1.48,5.92,€/kg,https://cdn.etop.lv/products/4751023453972-328x328.png
MĀJAS SIERS ALMA AR SALDO KRĒJUMU 5% 180G,etop.lv,0.99 € - 1.19 €,0.79,4.39,€/kg,https://cdn.etop.lv/products/4740125633245-328x328.png
MĀJAS SIERS ALMA AR SKĀBO KRĒJUMU 180G,etop.lv,0.99 € - 1.19 €,0.79,4.39,€/kg,https://cdn.etop.lv/products/4740125633252-328x328.png
TOMĀTU MĒRCE TIP TOP 455G,etop.lv,,1.34,2.95,€/kg,https://cdn.etop.lv/products/4751023453965-328x328.png
MAJONĒZE HELLMANNS ORIGINAL 322G/340ML,etop.lv,,3.99,12.39,€/kg,https://cdn.etop.lv/products/8720182799586-328x328.png
