title,store,original_price,current_price,unit_price,unit,image_url
Ātri pagatavojamām nūdelēm NAMDONG,maxima.lv,,,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//atri-pagatavojamam-nudelem-namdong-00037-0922095115.png?1790059875
Nūdeļu ēdieniem OYAKATA,maxima.lv,,,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//nudelu-edieniem-oyakata-00038-0922095115.png?1790059875
Ātri pagatavojamiem produktiem NONGSHIM,maxima.lv,,,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//atri-pagatavojamiem-produktiem-nongshim-00039-0922095115.png?1790059875
"Grauzdēti zemesrieksti KHAO SHONG ar soju, 140 g (28,50 €/kg)",maxima.lv,6.15,3.99,28.50,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//grauzdeti-zemesrieksti-khao-shong-ar-soju-00040-0922095115.png?1790059875
"Garneļu čipsi VIFON ar maigu garšu, 100 g (19,90 €/kg)",maxima.lv,2.29,1.99,19.90,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//garnelu-cipsi-vifon-ar-maigu-garsu-00041-0922095115.png?1790059875
"Kartupeļu plāksnes LONGCHIPS, 75 g (9,20 €/kg); (10,53 €/kg)",maxima.lv,,0.69,9.20,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//kartupelu-plaksnes-longchips-00042-0922095117.png?1790059877
"Basmati rīsi CROWN OF HIMALAYA, 800 g (4,11 €/kg); (4,99 €/kg)",maxima.lv,,3.29,4.11,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//basmati-risi-crown-of-himalaya-00043-0922095117.png?1790059877
"Kimchi kāposti DONGWON, 160 g (15,56 €/kg)",maxima.lv,3.49,2.49,15.56,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//kimchi-kaposti-dongwon-00044-0922095117.png?1790059877
"Jūras velšu kokteilis eļļā VIČI, 240 g (22,88 €/kg)",maxima.lv,6.99,5.49,22.88,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//juras-velsu-kokteilis-ella-vici-00045-0922095117.png?1790059877
"Mango kubiciņi vai dārzeņu maisījums BAUER, 300 g vai 400 g (no 3,73 €/kg); (no 4,73 €/kg)",maxima.lv,,1.49,4.97,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//mango-kubicini-vai-darzenu-maisijums-bauer-00046-0922095118.png?1790059878
"Saldējums HÄAGEN-DAZS MATCHA, 400 g (14,98 €/kg); (23,23 €/kg)",maxima.lv,,5.99,14.98,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//saldejums-haeagen-dazs-matcha-00047-0922095118.png?1790059878
Želejas desertiem NANACO,maxima.lv,,,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//zelejas-desertiem-nanaco-00048-0922095118.png?1790059878
"Bao maizītes ar pīli hoisina mērcē VIČI, 270 g (9,59 €/kg); (14,78 €/kg)",maxima.lv,,2.59,9.59,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//bao-maizites-ar-pili-hoisina-merce-vici-00049-0922095118.png?1790059878
"Garneles NOWACO TORPEDO, 225 g, vārītas (15,51 €/kg); (26,62 €/kg)",maxima.lv,,3.49,15.51,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//garneles-nowaco-torpedo-00050-0922095118.png?1790059878
"Jūras velšu kokteilis GARDI ĒDIS, 400 g (15,98 €/kg); (23,23 €/kg)",maxima.lv,,6.39,15.98,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//juras-velsu-kokteilis-gardi-edis-00051-0922095118.png?1790059878
"Poke ar cāļa fileju un kvinoju, 350 g (9,11 €/kg)",maxima.lv,3.99,3.19,9.11,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//poke-ar-cala-fileju-un-kvinoju-00052-0922095133.png?1790059893
"Medus cālis ar ceptiem rīsiem un olu, 350 g (9,40 €/kg)",maxima.lv,3.99,3.29,9.40,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//medus-calis-ar-ceptiem-risiem-un-olu-00053-0922095133.png?1790059893
"Sendvičs ar vistu un Čedaras sieru HOT RAMEN, 265 g (11,28 €/kg)",maxima.lv,3.79,2.99,11.28,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//sendvics-ar-vistu-un-cedaras-sieru-hot-ramen-00054-0922095133.png?1790059893
"Vista ar rīsiem ASIA COOK, 400 g, divi veidi (9,98 €/kg)",maxima.lv,4.99,3.99,9.98,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//vista-ar-risiem-asia-cook-00055-0922095133.png?1790059893
"Uzkoda SPRING ROLLS ASIA COOK, 278 g, ar dārzeņiem vai vistu (8,24 €/kg)",maxima.lv,2.89,2.29,8.24,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//uzkoda-spring-rolls-asia-cook-00056-0922095133.png?1790059893
"Jūras kāpostu salāti korejiešu gaumē, 200 g (6,45 €/kg); (8,95 €/kg)",maxima.lv,,1.29,6.45,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//juras-kapostu-salati-korejiesu-gaume-00057-0922095133.png?1790059893
"Sarkani suši ikri MASAGO SUDRABLĪNIS, 80 g (33,63 €/kg)",maxima.lv,3.29,2.69,33.62,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//sarkani-susi-ikri-masago-sudrablinis-00058-0922095133.png?1790059893
"Surimi nūdeles ATLANTIKA, 250 g, atdzesētas (6,76 €/kg)",maxima.lv,2.69,1.69,6.76,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//surimi-nudeles-atlantika-00059-0922095133.png?1790059893
"Surimi nūjiņas KAMA VIČI, 2x 180 g, atdzesētas (8,31 €/kg)",maxima.lv,5.98,2.99,16.61,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//surimi-nujinas-kama-vici-00060-0922095133.png?1790059893
"Cāļa gaļa Āzijas marinādē BAUSKA, 500 g (6,98 €/kg)",maxima.lv,4.99,3.49,6.98,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//cala-gala-azijas-marinade-bauska-00061-0922095133.png?1790059893
"Cāļa pusspārni citrona-ingvera marinādē KGS, 1 kg, fasēti",maxima.lv,6.99,3.99,3.99,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//cala-pussparni-citrona-ingvera-marinade-kgs-00062-0922095127.png?1790059887
"Cāļu kājas SWEET&SOUR marinādē RĪGAS MIESNIEKS, 800 g (4,99 €/kg)",maxima.lv,6.99,3.99,4.99,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//calu-kajas-sweet-sour-marinade-rigas-miesnieks-00063-0922095127.png?1790059887
"Cūkgaļas krūtiņa kurkumas-garšaugu marinādē NĀKOTNE, 450 g (9,98 €/kg)",maxima.lv,5.49,4.49,9.98,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//cukgalas-krutina-kurkumas-garsaugu-marinade-nakotne-00064-0922095127.png?1790059887
"Zivju mērce SQUID BRAND, 300 ml (7,30 €/l)",maxima.lv,3.29,2.19,7.30,€/l,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//zivju-merce-squid-brand-00065-0922095127.png?1790059887
Atdzesētajām zivīm un jūras veltēm,maxima.lv,,,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//atdzesetajam-zivim-un-juras-veltem-00066-0922095127.png?1790059887
"Sarkanā pitaija, 1 gab.",maxima.lv,3.99,3.69,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//sarkana-pitaija-00067-0922095127.png?1790059887
"Pomelo, 1 kg",maxima.lv,2.49,1.79,1.79,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//pomelo-00068-0922095127.png?1790059887
"Kokosrieksts, 1 gab.",maxima.lv,1.19,0.79,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//kokosrieksts-00069-0922095127.png?1790059887
"Pipari CHILI MIX WELL DONE, 75 g (15,87 €/kg)",maxima.lv,1.45,1.19,15.87,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//pipari-chili-mix-well-done-00070-0922095127.png?1790059887
"Citronzāle WELL DONE, 50 g (23,80 €/kg)",maxima.lv,1.49,1.19,23.80,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//citronzale-well-done-00071-0922095127.png?1790059887
"Salāti PAK CHOI, 300 g (4,97 €/kg)",maxima.lv,1.99,1.49,4.97,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//salati-pak-choi-00072-0922095124.png?1790059884
"Marinēts ingvers DIMDIŅI, 100 g (17,90 €/kg)",maxima.lv,2.59,1.79,17.90,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//marinets-ingvers-dimdini-00073-0922095124.png?1790059884
"Salāti WAKAME DIMDIŅI, 100 g (17,90 €/kg)",maxima.lv,2.59,1.79,17.90,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//salati-wakame-dimdini-00074-0922095124.png?1790059884
"Sēnes ŠITAKI, 150 g (11,93 €/kg)",maxima.lv,2.69,1.79,11.93,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//senes-sitaki-00075-0922095124.png?1790059884
"Gāzēts dzēriens OKF, 350 ml, POMEGRANATE vai CHERRY BLOSSOM (2,26 €/l)",maxima.lv,1.69,0.79,2.26,€/l,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//gazets-dzeriens-okf-00076-0922095124.png?1790059884
"Bazilika sēklu dzēriens THAI COCO, 290 ml, ar mango vai granātābolu garšu (3,41 €/l)",maxima.lv,1.49,0.99,3.41,€/l,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//bazilika-seklu-dzeriens-thai-coco-00077-0922095114.png?1790059874
"Dzēriens ALEO ALOE VERA, 500 ml, Premium vai mango (2,38 €/l)",maxima.lv,1.39,1.19,2.38,€/l,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//dzeriens-aleo-aloe-vera-00078-0922095114.png?1790059874
"Matcha tēja MOKATE, 40 g, ar mango vai persiku garšu (199,75 €/kg)",maxima.lv,10.99,7.99,199.75,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//matcha-teja-mokate-00079-0922095114.png?1790059874
"Kokosriekstu-sojas dzēriens ALPRO MATCHA, 1 l",maxima.lv,,2.49,2.49,€/l,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//kokosriekstu-sojas-dzeriens-alpro-matcha-00080-0922095114.png?1790059874
"Virtuves nazis TRAMONTINA PLENUS, 1 gab., divi veidi",maxima.lv,,3.99,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//virtuves-nazis-tramontina-plenus-00081-0922095114.png?1790059874
"Mājas aromāts AERON JAPAN, 1 gab., 50 ml, trīs veidi (99,80 €/l); (199,80 €/l)",maxima.lv,,4.99,99.80,€/l,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//majas-aromats-aeron-japan-00082-0922095114.png?1790059874
"Konstruktors LEGO 10281, 1 gab., Bonsai kociņš",maxima.lv,,39.99,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//konstruktors-lego-10281-00083-0922095114.png?1790059874
"Konstruktors LEGO 31218, 1 gab., Japānas ķiršu ziedi",maxima.lv,,89.99,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//konstruktors-lego-31218-00084-0922095114.png?1790059874
"Bļoda AURORA ASIA, 1 gab., Ø11 cm",maxima.lv,,1.79,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//bloda-aurora-asia-00085-0922095114.png?1790059874
"Šķīvis ar irbulīšiem AURORA ASIA, 1 gab., Ø24 cm",maxima.lv,,4.99,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//skivis-ar-irbulisiem-aurora-asia-00086-0922095114.png?1790059874
"Panna WOK UNIWELL, 1 gab., Ø28 cm",maxima.lv,,14.99,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//panna-wok-uniwell-00087-0922095113.png?1790059873
"Āboli CHAMPION, 1 kg",maxima.lv,,0.89,0.89,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//aboli-champion-00088-0922095113.png?1790059873
"Lielie sarkanie greipfrūti, 1 kg",maxima.lv,,1.99,1.99,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//lielie-sarkanie-greipfruti-00089-0922095113.png?1790059873
"Apelsīni sulai WELL DONE, 1,5 kg
                            (1,99 €/kg)",maxima.lv,,2.99,1.99,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//apelsini-sulai-well-done-00090-0922095113.png?1790059873
"Nektarīni, 1 kg",maxima.lv,,2.49,2.49,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//nektarini-00091-0922095113.png?1790059873
"Mazie mango, 1 gab.",maxima.lv,,1.45,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//mazie-mango-00092-0922095113.png?1790059873
"Avokado READY TO EAT WELL DONE, 1 iepak./2 gab.
                            (1,10 €/gab.)",maxima.lv,,2.19,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//avokado-ready-to-eat-well-done-00093-0922095113.png?1790059873
"Šampinjoni GRILL WELL DONE, 500 g
                            (4,98 €/kg)",maxima.lv,,2.49,4.98,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//sampinjoni-grill-well-done-00094-0922095113.png?1790059873
"Spināti BABY WELL DONE, 200 g
                            (8,95 €/kg)",maxima.lv,,1.79,8.95,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//spinati-baby-well-done-00095-0922095113.png?1790059873
"Salāti ICEBERG, 1 gab.",maxima.lv,,1.49,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//salati-iceberg-00096-0922095113.png?1790059873
"Burkāni, 1 kg",maxima.lv,,0.79,0.79,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//burkani-00097-0922095116.png?1790059876
"Latvijas ķiploki, 1 kg",maxima.lv,,4.99,4.99,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//latvijas-kiploki-00098-0922095116.png?1790059876
"Tomāti BLACK, 1 kg",maxima.lv,,3.49,3.49,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//tomati-black-00099-0922095116.png?1790059876
"Oranžie ķirbji, 1 kg",maxima.lv,,0.99,0.99,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//oranzie-kirbji-00100-0922095116.png?1790059876
"Saldie kartupeļi jeb batātes, 1 kg",maxima.lv,,2.39,2.39,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//saldie-kartupeli-jeb-batates-00101-0922095116.png?1790059876
"Bietes, 1 kg",maxima.lv,,0.45,0.45,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//bietes-00102-0922095149.png?1790059909
"Mazpulcēnu īpaši audzētie sīpoli, 1 kg, fasēti",maxima.lv,,1.29,1.29,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//mazpulcenu-ipasi-audzetie-sipoli-00103-0922095149.png?1790059909
"Sarkanā paprika, 1 kg",maxima.lv,2.99,2.29,2.29,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//sarkana-paprika-00104-0922095149.png?1790059909
"Citroni, 1 kg",maxima.lv,2.49,1.39,1.39,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//citroni-00105-0922095149.png?1790059909
"Arbūzi, 1 kg",maxima.lv,0.99,0.69,0.69,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//arbuzi-00106-0922095149.png?1790059909
"Brokoļi, 1 gab.",maxima.lv,1.69,1.39,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//brokoli-00107-0922095142.png?1790059902
"Īsie gurķi, 1 kg",maxima.lv,1.79,1.49,1.49,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//isie-gurki-00108-0922095142.png?1790059902
"Mazie plūmju tomāti spainītī, 500 g (5,58 €/kg)",maxima.lv,3.49,2.79,5.58,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//mazie-plumju-tomati-spainiti-00109-0922095142.png?1790059902
"Kāpostu salāti ar burkāniem EZERKAULIŅI, 750 g (2,65 €/kg)",maxima.lv,2.19,1.99,2.65,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//kapostu-salati-ar-burkaniem-ezerkaulini-00110-0922095142.png?1790059902
